,system__count,shuttle_pre_scan_time,shuttle_scan_success_time,shuttle_post_scan_delay,shuttle_carrier_motion_time,shuttle_stopper_lowering_time,shuttle_pallet_release_time,shuttle_stopper_rising_time,l2_dispenser__dispenser_entry_unclamp_time,l2_dispenser__dispenser_delay_post_entry_unclamp,l2_dispenser__dispenser_pallet_lifting_1_time,l2_dispenser__dispenser_entry_clamping_time,l2_dispenser__dispenser_delay_post_clamping,l2_dispenser__dispenser_pallet_stopper_releasing_time,l2_dispenser__dispenser_delay_pre_gantry_positioning,l2_dispenser__dispenser_gantry_positioning_time,l2_dispenser__dispenser_dispensing_time,l2_dispenser__dispenser_pallet_unpositioning_time,l2_dispenser__dispenser_pallet_stopper_locking_time,l2_dispenser__dispenser_pre_exit_unclamping,l2_dispenser__dispenser_exit_unclamping,l2_dispenser__dispenser_post_exit_unclamp,l2_dispenser__dispenser_pallet_lowering_1,l2_dispenser__dispenser_stopper_lowering,l2_dispenser__dispenser_pallet_releasing,l2_dispenser__dispenser_stopper_rasing,l2_inspection__inspection_lifter_rising_time,l2_inspection__inspection_gantry_positioning_time,l2_inspection__inspection_core_vision_system_time,l2_inspection__inspection_post_vision_check_delay,l2_inspection__inspection_lifter_lowering_time,l2_inspection__inspection_pallet_releasing_time,timestamp,system__cycle_time,system__total_time,system__rolling_uph,system__ng_pallets,system__yield,system__total_units,system__total_pallets,system__ok_pallets
23,47.0,0.011,0.714,0.512,0.0,0.083,3.926,0.084,0.0,0.001,0.232,0.126,0.501,0.124,1.002,1.938,10.557,1.912,0.25,1.002,0.105,0.001,0.402,0.229,3.524,0.105,0.0,12.353,6.236,0.0,1.108,7.623,2026-01-24 03:55:55.489,22.2349,11973.43,98.0,0.0,100.0,405.0,405.0,405.0
24,49.0,0.01,0.705,0.514,0.0,0.083,3.924,0.084,0.0,0.001,0.231,0.145,0.5,0.123,1.001,1.935,10.555,1.914,0.25,1.001,0.104,0.002,0.403,0.249,3.525,0.103,0.0,12.347,6.242,0.0,1.208,7.618,2026-01-24 03:56:37.092,26.8046,12020.55,98.0,0.0,100.0,407.0,407.0,407.0
25,51.0,0.011,0.719,0.512,0.0,0.083,3.925,0.084,0.0,0.001,0.231,0.125,0.502,0.126,1.001,1.939,10.552,1.915,0.247,1.001,0.102,0.001,0.403,0.248,3.519,0.102,0.0,12.349,6.24,0.0,1.208,7.817,2026-01-24 03:57:27.804,19.2207,12062.35,98.0,0.0,100.0,409.0,409.0,409.0
26,53.0,0.01,1.378,0.512,0.0,0.083,3.925,0.083,0.0,0.001,0.231,0.146,0.501,0.124,1.001,1.934,10.562,1.909,0.246,1.0,0.103,0.002,0.402,0.229,3.527,0.104,0.0,12.34,6.239,0.0,1.109,7.72,2026-01-24 03:58:17.378,21.4568,12112.87,98.0,0.0,100.0,411.0,411.0,411.0
27,55.0,0.011,1.385,0.513,0.0,0.082,3.926,0.084,0.0,0.0,0.232,0.125,0.5,0.128,1.002,1.936,10.547,1.914,0.248,1.0,0.105,0.001,0.403,0.249,3.517,0.104,0.0,12.341,6.239,0.0,1.205,7.824,2026-01-24 03:58:59.298,29.6545,12162.63,98.0,0.0,100.0,413.0,413.0,413.0
28,57.0,0.011,0.717,0.514,0.0,0.103,3.929,0.084,0.0,0.001,0.23,0.145,0.501,0.125,1.001,1.928,10.57,1.915,0.253,1.001,0.103,0.001,0.403,0.25,3.523,0.105,0.0,12.343,6.235,0.0,1.207,7.82,2026-01-24 03:59:47.061,22.3871,12204.56,98.0,0.0,100.0,415.0,415.0,415.0
29,59.0,0.01,1.387,0.514,0.0,0.103,3.928,0.082,0.001,0.0,0.232,0.145,0.501,0.126,1.001,1.932,10.56,1.914,0.25,1.001,0.104,0.001,0.403,0.227,3.525,0.103,0.0,12.338,6.236,0.0,1.105,7.819,2026-01-24 04:00:37.398,19.1155,12252.22,98.0,0.0,100.0,417.0,417.0,417.0
30,61.0,0.01,0.705,0.511,0.0,0.083,3.924,0.082,0.0,0.001,0.329,0.144,0.5,0.123,1.003,1.944,10.56,1.91,0.248,1.001,0.103,0.001,0.401,0.25,3.527,0.104,0.0,12.336,6.242,0.0,1.209,7.722,2026-01-24 04:01:19.769,28.2685,12302.58,98.0,0.0,100.0,419.0,419.0,419.0
31,63.0,0.011,1.39,0.513,0.0,0.083,3.925,0.084,0.0,0.001,0.23,0.125,0.502,0.125,1.001,1.936,10.555,1.918,0.247,1.001,0.105,0.001,0.403,0.252,3.527,0.103,0.0,12.343,6.233,0.0,1.207,7.726,2026-01-24 04:02:11.551,22.4324,12344.94,98.0,0.0,100.0,421.0,421.0,421.0
32,65.0,0.01,0.719,0.514,0.0,0.084,3.926,0.082,0.0,0.001,0.231,0.126,0.5,0.126,1.003,1.935,10.556,1.911,0.249,1.001,0.103,0.001,0.403,0.248,3.521,0.104,0.0,12.345,6.243,0.001,1.108,7.823,2026-01-24 04:02:56.601,24.8613,12396.75,98.0,0.0,100.0,423.0,423.0,423.0
33,67.0,0.01,0.714,0.511,0.0,0.083,3.928,0.083,0.0,0.001,0.232,0.125,0.5,0.125,1.002,1.935,10.559,1.911,0.25,1.001,0.103,0.001,0.402,0.25,3.528,0.104,0.0,12.301,6.237,0.0,1.209,7.717,2026-01-24 04:03:39.155,26.8578,12441.73,98.0,0.0,100.0,425.0,425.0,425.0
34,69.0,0.011,0.709,0.512,0.0,0.083,3.932,0.083,0.0,0.001,0.233,0.127,0.501,0.124,1.0,1.939,10.549,1.915,0.246,1.001,0.105,0.001,0.402,0.248,3.52,0.104,0.911,12.335,6.239,0.0,1.207,7.812,2026-01-24 04:04:32.914,18.7633,12485.32,98.0,0.0,100.0,427.0,427.0,427.0
35,71.0,0.011,1.397,0.512,0.0,0.084,3.931,0.084,0.0,0.001,0.342,0.126,0.501,0.125,1.002,1.939,10.551,1.908,0.252,1.001,0.105,0.001,0.404,0.23,3.527,0.104,0.0,12.279,6.255,0.0,1.107,7.518,2026-01-24 04:05:17.615,25.172,12537.73,98.0,0.0,100.0,429.0,429.0,429.0
36,73.0,0.01,1.411,0.513,0.0,0.084,3.959,0.084,0.0,0.001,0.231,0.125,0.5,0.131,1.002,1.937,10.556,1.91,0.249,1.001,0.105,0.001,0.403,0.25,3.524,0.105,0.0,12.3,6.234,0.0,1.209,7.62,2026-01-24 04:05:59.350,26.8075,12582.64,98.0,0.0,100.0,431.0,431.0,431.0
37,75.0,0.01,0.718,0.513,0.0,0.084,3.926,0.083,0.0,0.005,0.341,0.126,0.5,0.124,1.002,1.937,10.561,1.911,0.248,1.0,0.104,0.001,0.402,0.25,3.522,0.105,1.19,12.333,6.241,0.0,1.21,7.817,2026-01-24 04:06:51.035,18.7794,12625.8,98.0,0.0,100.0,433.0,433.0,433.0
38,77.0,0.01,0.713,0.513,0.0,0.084,3.921,0.084,0.0,0.002,0.229,0.126,0.501,0.125,1.002,1.94,10.546,1.911,0.25,1.0,0.104,0.001,0.403,0.228,3.52,0.104,0.0,12.325,6.234,0.0,1.21,7.723,2026-01-24 04:07:36.949,23.8252,12676.19,98.0,0.0,100.0,435.0,435.0,435.0
39,79.0,0.01,0.712,0.513,0.0,0.083,3.924,0.084,0.0,0.001,0.232,0.126,0.501,0.124,1.002,1.933,10.557,1.914,0.249,1.001,0.103,0.001,0.402,0.248,3.521,0.105,0.0,12.342,6.241,0.0,1.21,7.516,2026-01-24 04:08:25.046,26.683,12721.92,98.0,0.0,100.0,437.0,437.0,437.0
40,81.0,0.01,0.726,0.512,0.0,0.084,3.923,0.083,0.0,0.0,0.234,0.146,0.5,0.122,1.002,1.938,10.55,1.911,0.249,1.0,0.104,0.001,0.402,0.246,3.526,0.104,0.0,12.339,6.239,0.0,1.209,7.521,2026-01-24 04:09:17.132,20.5487,12770.02,98.0,0.0,100.0,439.0,439.0,439.0
41,83.0,0.01,0.72,0.513,0.0,0.083,3.927,0.084,0.0,0.001,0.231,0.145,0.5,0.126,1.001,1.937,10.558,1.915,0.25,1.0,0.105,0.001,0.403,0.232,3.524,0.101,0.0,12.346,6.235,0.0,1.207,7.821,2026-01-24 04:10:06.195,23.9355,12822.41,98.0,0.0,100.0,441.0,441.0,441.0
42,85.0,0.01,0.711,0.513,0.0,0.103,3.932,0.082,0.0,0.001,0.233,0.145,0.501,0.124,1.001,1.936,10.557,1.914,0.25,1.001,0.103,0.001,0.403,0.251,3.521,0.103,0.0,12.307,6.234,0.0,1.209,7.723,2026-01-24 04:10:48.262,29.2982,12871.33,98.0,0.0,100.0,443.0,443.0,443.0
43,87.0,0.011,0.716,0.513,0.0,0.083,3.931,0.083,0.0,0.001,0.234,0.127,0.5,0.125,1.002,1.937,10.561,1.912,0.248,1.0,0.103,0.001,0.401,0.25,3.521,0.105,0.41,12.329,6.24,0.001,1.208,7.617,2026-01-24 04:11:42.315,18.5624,12913.74,98.0,0.0,100.0,445.0,445.0,445.0
44,89.0,0.01,0.72,0.511,0.0,0.083,3.925,0.083,0.0,0.001,0.232,0.126,0.501,0.124,1.001,1.938,10.56,1.916,0.25,1.0,0.105,0.001,0.404,0.228,3.523,0.103,0.0,12.334,6.23,0.0,1.108,7.716,2026-01-24 04:12:29.874,23.3589,12967.38,98.0,0.0,100.0,447.0,447.0,447.0
45,91.0,0.01,0.717,0.512,0.0,0.083,3.928,0.083,0.0,0.002,0.232,0.146,0.5,0.126,1.002,1.938,10.558,1.908,0.249,1.0,0.102,0.001,0.404,0.233,3.526,0.105,0.0,12.34,6.234,0.0,1.21,7.819,2026-01-24 04:13:13.952,31.435,13015.16,98.0,0.0,100.0,449.0,449.0,449.0
