"timestamp","value","state_context"
"2026-02-03 19:22:39.484+00","216","CYCLE_COUNT"
"2026-02-03 19:22:50.503+00","217","CYCLE_COUNT"
"2026-02-03 19:23:00.52+00","218","CYCLE_COUNT"
"2026-02-03 19:23:11.041+00","219","CYCLE_COUNT"
"2026-02-03 19:23:22.06+00","220","CYCLE_COUNT"
"2026-02-03 19:23:33.583+00","221","CYCLE_COUNT"
"2026-02-03 19:23:43.601+00","222","CYCLE_COUNT"
"2026-02-03 19:23:54.622+00","223","CYCLE_COUNT"
"2026-02-03 19:24:06.144+00","224","CYCLE_COUNT"
"2026-02-03 19:24:16.163+00","225","CYCLE_COUNT"
"2026-02-03 19:24:29.188+00","226","CYCLE_COUNT"
"2026-02-03 19:24:39.207+00","227","CYCLE_COUNT"
"2026-02-03 19:24:51.229+00","228","CYCLE_COUNT"
"2026-02-03 19:25:01.749+00","229","CYCLE_COUNT"
"2026-02-03 19:25:12.773+00","230","CYCLE_COUNT"
"2026-02-03 19:25:23.293+00","231","CYCLE_COUNT"
"2026-02-03 19:25:34.814+00","232","CYCLE_COUNT"
"2026-02-03 19:25:45.836+00","233","CYCLE_COUNT"
"2026-02-03 19:25:56.356+00","234","CYCLE_COUNT"
"2026-02-03 19:26:06.374+00","235","CYCLE_COUNT"
"2026-02-03 19:26:18.396+00","236","CYCLE_COUNT"
"2026-02-03 19:26:41.438+00","237","CYCLE_COUNT"
"2026-02-03 19:26:44.945+00","238","CYCLE_COUNT"
"2026-02-03 19:26:53.459+00","239","CYCLE_COUNT"
"2026-02-03 19:27:02.48+00","240","CYCLE_COUNT"
"2026-02-03 19:27:12.495+00","241","CYCLE_COUNT"
"2026-02-03 19:27:20.51+00","242","CYCLE_COUNT"
"2026-02-03 19:27:25.019+00","243","CYCLE_COUNT"
"2026-02-03 19:27:35.537+00","244","CYCLE_COUNT"
"2026-02-03 19:27:48.059+00","245","CYCLE_COUNT"
"2026-02-03 19:27:57.076+00","246","CYCLE_COUNT"
"2026-02-03 19:28:08.095+00","247","CYCLE_COUNT"
"2026-02-03 19:28:13.104+00","248","CYCLE_COUNT"
"2026-02-03 19:28:24.627+00","249","CYCLE_COUNT"
"2026-02-03 19:28:30.638+00","250","CYCLE_COUNT"
"2026-02-03 19:28:42.16+00","251","CYCLE_COUNT"
"2026-02-03 19:28:58.69+00","252","CYCLE_COUNT"
"2026-02-03 19:29:05.704+00","253","CYCLE_COUNT"
"2026-02-03 19:29:15.722+00","254","CYCLE_COUNT"
"2026-02-03 19:29:26.241+00","255","CYCLE_COUNT"
"2026-02-03 19:29:37.262+00","256","CYCLE_COUNT"
"2026-02-03 19:29:46.278+00","257","CYCLE_COUNT"
"2026-02-03 19:29:58.803+00","258","CYCLE_COUNT"
"2026-02-03 19:30:09.324+00","259","CYCLE_COUNT"
"2026-02-03 19:30:20.342+00","260","CYCLE_COUNT"
"2026-02-03 19:30:31.863+00","261","CYCLE_COUNT"
"2026-02-03 19:30:43.385+00","262","CYCLE_COUNT"
"2026-02-03 19:30:52.902+00","263","CYCLE_COUNT"
"2026-02-03 19:31:04.924+00","264","CYCLE_COUNT"
"2026-02-03 19:31:15.448+00","265","CYCLE_COUNT"
"2026-02-03 19:31:26.969+00","266","CYCLE_COUNT"
"2026-02-03 19:31:36.989+00","267","CYCLE_COUNT"
"2026-02-03 19:31:51.013+00","268","CYCLE_COUNT"
"2026-02-03 19:31:59.027+00","269","CYCLE_COUNT"
"2026-02-03 19:32:10.55+00","270","CYCLE_COUNT"
"2026-02-03 19:32:21.571+00","271","CYCLE_COUNT"
"2026-02-03 19:32:33.591+00","272","CYCLE_COUNT"
"2026-02-03 19:32:44.112+00","273","CYCLE_COUNT"
"2026-02-03 19:32:55.134+00","274","CYCLE_COUNT"
"2026-02-03 19:33:06.657+00","275","CYCLE_COUNT"
"2026-02-03 19:33:17.676+00","276","CYCLE_COUNT"
"2026-02-03 19:33:28.696+00","277","CYCLE_COUNT"
"2026-02-03 19:33:39.214+00","278","CYCLE_COUNT"
"2026-02-03 19:33:49.734+00","279","CYCLE_COUNT"
"2026-02-03 19:34:00.756+00","280","CYCLE_COUNT"
"2026-02-03 19:34:13.279+00","281","CYCLE_COUNT"
"2026-02-03 19:34:23.8+00","282","CYCLE_COUNT"
"2026-02-03 19:34:34.82+00","283","CYCLE_COUNT"
"2026-02-03 19:34:45.841+00","284","CYCLE_COUNT"
"2026-02-03 19:34:57.363+00","285","CYCLE_COUNT"
"2026-02-03 19:35:08.882+00","286","CYCLE_COUNT"
"2026-02-03 19:35:20.404+00","287","CYCLE_COUNT"
"2026-02-03 19:35:30.423+00","288","CYCLE_COUNT"
"2026-02-03 19:35:42.442+00","289","CYCLE_COUNT"
