,system__count,shuttle_pre_scan_time,shuttle_scan_success_time,shuttle_post_scan_delay,shuttle_carrier_motion_time,shuttle_stopper_lowering_time,shuttle_pallet_release_time,shuttle_stopper_rising_time,l1_buffer_a__buffer_holding_time,l1_buffer_a__buffer_stopper_lowering_time,l1_buffer_a__buffer_pallet_release_time,l1_buffer_a__buffer_stopper_rising_time,l1_dispenser__dispenser_entry_unclamp_time,l1_dispenser__dispenser_delay_post_entry_unclamp,l1_dispenser__dispenser_pallet_lifting_1_time,l1_dispenser__dispenser_entry_clamping_time,l1_dispenser__dispenser_delay_post_clamping,l1_dispenser__dispenser_pallet_stopper_releasing_time,l1_dispenser__dispenser_delay_pre_gantry_positioning,l1_dispenser__dispenser_gantry_positioning_time,l1_dispenser__dispenser_dispensing_time,l1_dispenser__dispenser_pallet_unpositioning_time,l1_dispenser__dispenser_pallet_stopper_locking_time,l1_dispenser__dispenser_pre_exit_unclamping,l1_dispenser__dispenser_exit_unclamping,l1_dispenser__dispenser_post_exit_unclamp,l1_dispenser__dispenser_pallet_lowering_1,l1_dispenser__dispenser_stopper_lowering,l1_dispenser__dispenser_pallet_releasing,l1_dispenser__dispenser_stopper_rasing,l1_inspection__inspection_lifter_rising_time,l1_inspection__inspection_gantry_positioning_time,l1_inspection__inspection_core_vision_system_time,l1_inspection__inspection_post_vision_check_delay,l1_inspection__inspection_lifter_lowering_time,l1_inspection__inspection_pallet_releasing_time,timestamp,system__cycle_time,system__total_time,system__rolling_uph,system__ng_pallets,system__yield,system__total_units,system__total_pallets,system__ok_pallets
22,46.0,0.011,0.713,0.512,3.828,0.082,3.925,0.084,0.0,0.103,3.72,0.084,0.0,1.002,0.264,0.331,1.501,0.124,0.0,1.736,10.549,1.712,0.125,1.002,0.188,0.002,0.302,0.125,3.525,0.169,0.0,7.426,6.236,0.0,1.007,7.822,2026-01-24 03:55:30.098,29.0089,11951.2,98.0,0.0,100.0,404.0,404.0,404.0
23,48.0,0.01,0.711,0.514,3.827,0.084,3.93,0.083,0.0,0.104,3.724,0.084,0.0,1.002,0.264,0.334,1.502,0.125,0.002,1.734,10.555,1.711,0.125,1.001,0.19,0.0,0.302,0.126,3.521,0.165,0.001,7.416,6.235,0.001,1.008,7.825,2026-01-24 03:56:19.464,20.3193,11993.75,98.0,0.0,100.0,406.0,406.0,406.0
24,50.0,0.011,1.384,0.514,3.927,0.102,3.925,0.084,0.0,0.105,3.715,0.083,0.0,1.002,0.265,0.334,1.501,0.124,0.0,1.74,10.555,1.711,0.126,1.0,0.187,0.001,0.301,0.126,3.526,0.166,0.0,7.42,6.232,0.0,1.007,7.848,2026-01-24 03:57:07.847,22.5791,12043.13,98.0,0.0,100.0,408.0,408.0,408.0
25,52.0,0.01,0.72,0.514,3.926,0.084,3.927,0.084,0.0,0.101,3.722,0.083,0.0,1.001,0.261,0.315,1.502,0.126,0.001,1.736,10.56,1.713,0.125,1.001,0.186,0.001,0.301,0.126,3.525,0.167,0.0,7.426,6.242,0.0,1.004,7.722,2026-01-24 03:57:49.412,29.0554,12091.41,98.0,0.0,100.0,410.0,410.0,410.0
26,54.0,0.01,0.718,0.514,3.925,0.103,3.926,0.084,0.0,0.103,3.719,0.083,0.0,1.001,0.263,0.331,1.503,0.122,0.001,1.728,10.546,1.712,0.123,1.001,0.187,0.001,0.301,0.124,3.524,0.167,0.0,7.434,6.234,0.0,1.006,7.724,2026-01-24 03:58:38.517,20.1098,12132.98,98.0,0.0,100.0,412.0,412.0,412.0
27,56.0,0.011,1.377,0.513,3.828,0.084,3.93,0.082,0.0,0.104,3.717,0.082,0.0,1.002,0.262,0.331,1.501,0.125,0.001,1.737,10.556,1.717,0.126,1.001,0.188,0.001,0.302,0.124,3.52,0.167,0.0,7.422,6.231,0.0,1.005,7.819,2026-01-24 03:59:29.437,19.54,12182.17,98.0,0.0,100.0,414.0,414.0,414.0
28,58.0,0.01,0.711,0.514,3.828,0.084,3.929,0.083,0.0,0.103,3.721,0.084,0.0,1.002,0.265,0.332,1.501,0.126,0.001,1.733,10.555,1.711,0.127,1.001,0.187,0.002,0.301,0.124,3.525,0.168,0.0,7.421,6.235,0.0,1.006,7.823,2026-01-24 04:00:10.635,28.5375,12233.1,98.0,0.0,100.0,416.0,416.0,416.0
29,60.0,0.01,0.718,0.513,3.923,0.102,3.937,0.083,0.0,0.105,3.725,0.082,0.0,1.001,0.263,0.332,1.501,0.106,0.002,1.736,10.56,1.709,0.124,1.001,0.188,0.001,0.3,0.123,3.524,0.167,0.0,7.434,6.233,0.0,1.006,7.82,2026-01-24 04:00:58.853,22.0876,12274.31,98.0,0.0,100.0,418.0,418.0,418.0
30,62.0,0.011,1.388,0.515,3.925,0.103,3.927,0.082,0.0,0.104,3.719,0.083,0.0,1.001,0.262,0.332,1.501,0.124,0.001,1.733,10.55,1.713,0.125,1.0,0.189,0.001,0.301,0.125,3.524,0.167,0.0,7.414,6.236,0.0,1.009,7.82,2026-01-24 04:01:48.220,19.9337,12322.51,98.0,0.0,100.0,420.0,420.0,420.0
31,64.0,0.011,0.704,0.515,3.928,0.09,3.923,0.082,0.0,0.105,3.722,0.084,0.0,1.002,0.265,0.331,1.503,0.126,0.001,1.756,10.557,1.709,0.126,1.0,0.187,0.001,0.302,0.126,3.522,0.168,0.0,7.437,6.234,0.0,1.008,7.819,2026-01-24 04:02:31.313,26.9461,12371.89,98.0,0.0,100.0,422.0,422.0,422.0
32,66.0,0.01,0.714,0.513,3.924,0.084,3.922,0.084,0.0,0.102,3.718,0.081,0.0,1.002,0.266,0.334,1.5,0.125,0.001,1.734,10.548,1.714,0.123,1.001,0.187,0.002,0.301,0.124,3.526,0.165,0.0,7.424,6.234,0.0,1.006,7.716,2026-01-24 04:03:22.903,18.1223,12414.87,98.0,0.0,100.0,424.0,424.0,424.0
33,68.0,0.011,1.368,0.513,3.828,0.084,3.925,0.082,0.0,0.103,3.722,0.085,0.0,1.003,0.262,0.331,1.501,0.125,0.001,1.735,10.549,1.71,0.126,1.001,0.186,0.001,0.303,0.125,3.52,0.166,0.0,7.423,6.229,0.0,1.005,7.825,2026-01-24 04:04:08.913,24.8279,12466.56,98.0,0.0,100.0,426.0,426.0,426.0
34,70.0,0.011,0.712,0.513,3.93,0.083,3.919,0.085,0.0,0.102,3.719,0.084,0.0,1.001,0.262,0.333,1.501,0.126,0.001,1.738,10.549,1.713,0.123,1.001,0.187,0.002,0.3,0.125,3.521,0.167,0.0,7.418,6.236,0.0,1.008,7.818,2026-01-24 04:04:52.159,27.2394,12512.56,98.0,0.0,100.0,428.0,428.0,428.0
35,72.0,0.011,1.399,0.514,3.924,0.083,3.93,0.084,0.0,0.105,3.822,0.084,0.0,1.002,0.256,0.33,1.502,0.126,0.001,1.735,10.587,1.717,0.126,1.0,0.188,0.001,0.302,0.126,3.522,0.165,0.0,7.426,6.245,0.0,1.006,7.821,2026-01-24 04:05:43.345,18.1031,12555.83,98.0,0.0,100.0,430.0,430.0,430.0
36,74.0,0.011,1.377,0.514,3.933,0.084,3.925,0.082,0.0,0.104,3.719,0.083,0.0,1.001,0.263,0.333,1.501,0.125,0.001,1.734,10.557,1.708,0.125,1.0,0.189,0.001,0.301,0.126,3.53,0.184,0.0,7.416,6.242,0.0,1.005,7.817,2026-01-24 04:06:29.115,24.3818,12607.02,98.0,0.0,100.0,432.0,432.0,432.0
37,76.0,0.012,0.721,0.513,3.923,0.084,3.923,0.084,0.0,0.105,3.715,0.085,0.0,1.002,0.261,0.331,1.5,0.125,0.002,1.734,10.554,1.711,0.125,1.001,0.186,0.001,0.3,0.126,3.517,0.166,0.0,7.426,6.236,0.0,1.008,7.418,2026-01-24 04:07:11.557,26.5618,12652.36,98.0,0.0,100.0,434.0,434.0,434.0
38,78.0,0.01,0.712,0.512,3.826,0.083,3.922,0.084,0.0,0.105,3.723,0.083,0.0,1.002,0.256,0.332,1.502,0.124,0.001,1.733,10.552,1.712,0.126,1.0,0.186,0.002,0.301,0.143,3.523,0.168,0.001,7.428,6.232,0.0,1.007,7.818,2026-01-24 04:08:05.812,19.046,12695.24,98.0,0.0,100.0,436.0,436.0,436.0
39,80.0,0.01,1.39,0.513,3.828,0.084,3.929,0.082,0.001,0.108,3.716,0.082,0.0,1.003,0.255,0.328,1.502,0.126,0.001,1.737,10.552,1.704,0.125,1.001,0.188,0.001,0.303,0.126,3.527,0.168,0.0,7.417,6.232,0.0,1.008,7.822,2026-01-24 04:08:54.800,27.5496,12749.47,98.0,0.0,100.0,438.0,438.0,438.0
40,82.0,0.011,0.723,0.513,3.923,0.083,3.929,0.082,0.0,0.103,3.718,0.083,0.0,1.001,0.256,0.331,1.503,0.125,0.001,1.732,10.557,1.716,0.126,1.0,0.186,0.0,0.301,0.126,3.522,0.167,0.0,7.43,6.24,0.0,1.006,7.819,2026-01-24 04:09:38.366,28.4499,12798.47,98.0,0.0,100.0,440.0,440.0,440.0
41,84.0,0.01,0.716,0.513,3.928,0.104,3.925,0.084,0.0,0.105,3.72,0.083,0.0,1.002,0.262,0.33,1.502,0.125,0.001,1.731,10.555,1.711,0.125,1.001,0.186,0.001,0.303,0.124,3.528,0.166,0.001,7.419,6.232,0.0,1.006,7.815,2026-01-24 04:10:31.501,19.6184,12842.03,98.0,0.0,100.0,442.0,442.0,442.0
42,86.0,0.01,1.384,0.513,3.831,0.084,3.924,0.084,0.0,0.104,3.723,0.083,0.001,1.002,0.263,0.333,1.501,0.125,0.001,1.735,10.56,1.713,0.124,1.001,0.188,0.001,0.302,0.126,3.52,0.168,0.0,7.424,6.231,0.0,1.007,7.825,2026-01-24 04:11:20.413,23.8455,12895.18,98.0,0.0,100.0,444.0,444.0,444.0
43,88.0,0.01,0.716,0.515,3.83,0.084,3.927,0.082,0.0,0.103,3.721,0.084,0.0,1.002,0.263,0.332,1.502,0.125,0.002,1.733,10.56,1.714,0.126,1.001,0.186,0.002,0.301,0.125,3.529,0.185,0.0,7.427,6.237,0.0,1.006,7.715,2026-01-24 04:12:00.552,30.2764,12944.02,98.0,0.0,100.0,446.0,446.0,446.0
44,90.0,0.01,0.716,0.514,3.921,0.084,3.918,0.084,0.0,0.101,3.717,0.082,0.0,1.001,0.264,0.332,1.502,0.124,0.001,1.735,10.559,1.71,0.126,1.0,0.187,0.001,0.303,0.124,3.523,0.166,0.0,7.425,6.232,0.0,1.006,7.315,2026-01-24 04:12:56.808,16.3439,12983.72,98.0,0.0,100.0,448.0,448.0,448.0
45,92.0,0.011,1.387,0.515,3.927,0.084,3.922,0.083,0.0,0.105,3.72,0.082,0.0,1.0,0.264,0.332,1.502,0.125,0.0,1.735,10.55,1.711,0.123,1.001,0.187,0.001,0.302,0.125,3.524,0.166,0.0,7.422,6.236,0.0,1.008,7.822,2026-01-24 04:13:42.214,25.3229,13040.48,98.0,0.0,100.0,450.0,450.0,450.0
46,94.0,0.011,0.713,0.514,3.926,0.103,3.922,0.082,0.0,0.105,3.715,0.082,0.0,1.002,0.264,0.33,1.501,0.124,0.001,1.731,10.552,1.708,0.124,1.001,0.185,0.0,0.302,0.124,3.524,0.166,0.0,7.419,6.234,0.0,1.002,7.725,2026-01-24 04:14:26.955,26.6456,13085.77,98.0,0.0,100.0,452.0,452.0,452.0
47,96.0,0.012,1.393,0.511,3.929,0.103,3.93,0.081,0.0,0.104,3.721,0.085,0.0,1.001,0.265,0.332,1.501,0.126,0.0,1.736,10.556,1.718,0.125,1.0,0.187,0.001,0.302,0.124,3.53,0.167,0.0,7.429,6.232,0.0,1.006,7.818,2026-01-24 04:15:17.849,20.1652,13130.65,98.0,0.0,100.0,454.0,454.0,454.0
48,98.0,0.01,0.717,0.515,3.924,0.083,3.927,0.083,0.0,0.105,3.724,0.082,0.0,1.002,0.255,0.332,1.502,0.125,0.002,1.732,10.557,1.713,0.127,1.001,0.187,0.001,0.302,0.127,3.521,0.166,0.0,7.433,6.234,0.0,1.006,7.818,2026-01-24 04:16:06.930,23.6323,13181.54,98.0,0.0,100.0,456.0,456.0,456.0
49,100.0,0.011,0.725,0.513,3.929,0.084,3.931,0.082,0.0,0.104,3.714,0.083,0.0,1.001,0.265,0.332,1.501,0.125,0.001,1.732,10.561,1.714,0.125,1.0,0.188,0.001,0.301,0.125,3.527,0.169,0.0,7.421,6.233,0.0,1.008,7.82,2026-01-24 04:16:49.479,28.7833,13230.62,98.0,0.0,100.0,458.0,458.0,458.0
50,102.0,0.01,0.713,0.513,3.925,0.084,3.93,0.083,0.0,0.103,3.724,0.084,0.0,1.002,0.261,0.33,1.502,0.126,0.005,1.735,10.557,1.71,0.123,1.001,0.19,0.001,0.303,0.123,3.531,0.165,0.0,7.429,6.236,0.0,1.007,7.719,2026-01-24 04:17:42.233,18.6955,13273.08,98.0,0.0,100.0,460.0,460.0,460.0
51,104.0,0.011,1.384,0.512,3.928,0.083,3.929,0.084,0.0,0.104,3.716,0.083,0.0,1.001,0.255,0.33,1.501,0.124,0.001,1.736,10.548,1.709,0.124,1.0,0.189,0.001,0.3,0.124,3.527,0.168,0.0,7.427,6.24,0.0,1.007,7.817,2026-01-24 04:18:30.096,24.442,13325.93,98.0,0.0,100.0,462.0,462.0,462.0
